State,POP_MI²,POP_KM²
Alabama,95.9,37
Alaska,1.3,0.5
Arizona,60.1,23.2
Arkansas,57.2,22.1
California,251.3,97
Colorado,52.6,20.3
Connecticut,741.6,286.3
DC,10588.8,4088.4
Delaware,485.3,187.4
Florida,378,145.9
Georgia,177.6,68.6
Hawaii,222.9,86.1
Idaho,20,7.7
Illinois,231.6,89.4
Indiana,184.8,71.4
Iowa,55.9,21.6
Kansas,35.6,13.7
Kentucky,112,43.2
Louisiana,108.1,41.7
Maine,43.1,16.6
Maryland,618.7,238.9
Massachusetts,871.1,336.3
Michigan,175.5,67.8
Minnesota,68.9,26.6
Mississippi,63.8,24.6
Missouri,88.5,34.2
Montana,7.1,2.7
Nebraska,24.7,9.5
Nevada,26.3,10.2
New Hampshire,148.6,57.4
New Jersey,"1,210.10",467.2
New Mexico,17.2,6.6
New York,420.1,162.2
North Carolina,11,4.2
North Dakota,206.6,79.8
Ohio,284.2,109.7
Oklahoma,57,22
Oregon,42,16.2
Pennsylvania,286.1,110.5
Rhode Island,"1,021.60",394.4
South Carolina,162.9,62.9
South Dakota,11.3,4.4
Tennessee,160.1,61.8
Texas,105.2,40.6
Utah,36.5,14.1
Vermont,67.9,26.2
Virginia,212.3,82
Washington,107.9,41.7
West Virginia,76.7,29.6
Wisconsin,106.6,41.2
Wyoming,6,2.3
